municipi,total_parcels
REUS,11375
RIUDOMS,14000
SELVA DEL CAMP (LA),11832
CAMBRILS,7004
BORGES DEL CAMP (LES),1268
VANDELLOS I L'HOSPITALET DE L'INFANT,3363
VILAPLANA,1894
ALEIXAR (L'),7363
DUESAIGÜES,623
ALFORJA,4860
ARBOLI,387
MONT-ROIG DEL CAMP,9922
MASPUJOLS,1006
ALMOSTER,1102
BOTARELL,4165
ALBIOL (L'),1891
VINYOLS I ELS ARCS,3916
RIUDECOLS,1964
PRADES,1634
PRATDIP,1348
MONTBRIO DEL CAMP,2939
VILANOVA D'ESCORNALBOU,1712
RIUDECANYES,3354
CASTELLVELL DEL CAMP,817
FEBRO (LA),170
CAPAFONTS,319
COLLDEJOU,415
ARGENTERA (L'),7
