campanya,cultiu,ha
2023,AMETLLER,800.181299999999
2023,GARROFER,623.775700000001
2024,OLIVERA,4394.97710000007
2022,GARROFER,576.223600000001
2024,AMETLLER,819.796300000002
2020,OLIVERES,4202.49550000006
2023,OLIVERA,4083.7856000001
2024,GARROFER,659.7294
2021,AVELLANER,3568.0363
2024,AVELLANER,3175.304
2021,AMETLLERS,809.099500000001
2022,AMETLLERS,860.6339
2020,GARROFER,474.674400000001
2024,NOGUERA,21.8185
2021,OLIVERES,4168.50850000007
2021,NOGUERES,22.4462
2021,GARROFER,505.7582
2022,OLIVERES,4259.34750000007
2020,AMETLLERS,794.252600000001
2020,AVELLANER,3638.46890000001
2020,NOGUERES,20.7639
2020,PISTATXER O FESTUC,0.0508
2022,AVELLANER,3512.5808
2022,NOGUERES,19.5773
2023,AVELLANER,3280.2684
2023,NOGUERA,24.0856
2023,PISTATXER O FESTUC,0.1325
2024,PISTATXER O FESTUC,0.133
